track_id,track_name,artist_name,track_popularity,explicit,artist_popularity,artist_followers,album_total_tracks,track_duration_min
5PjdC2gMATetx5xdnwGUu7,i wanna be your girlfriend,girl in red,74,1,73.0,8763286.0,1,3.41
01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,3,0,69.0,2325598.0,1,3.58
7aDjF0SOFLRFuBFDi8UbrY,Davy Jones Theme (Pirates of the Caribbean),Leon Alex,0,0,37.0,11476.0,3,1.71
1qFMIjTe9esCDiytqUY19t,i can't breathe,Bea Miller,51,0,62.0,3072874.0,14,3.56
7FIy6N0Q90ID7u1Gh9oGfe,What To Do,Guy Gerber,0,0,43.0,115851.0,3,5.01
4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofía Reyes,63,0,63.0,3148347.0,1,3.35
7wvwXi9Z66dcH5t202vVkN,Will He,Joji,73,1,81.0,10642618.0,16,3.36
45Egmo7icyopuzJN0oMEdk,Love Lies,Khalid,73,1,82.0,16943442.0,1,3.36
0WKmVAD4VWk5EdTyCFILi4,Needs,Verzache,1,0,52.0,265495.0,1,2.95
2Y0iGXY6m6immVb2ktbseM,Little Dark Age,MGMT,78,0,73.0,3571100.0,10,4.99
7165YDcOpr9yEypbdpU6fa,Look Alive (feat. Drake),BlocBoy JB,57,1,53.0,1434846.0,1,3.02
3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From Black Panther: The Album""""",Kendrick Lamar,89,1,89.0,44592005.0,14,3.86
4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),ScHoolboy Q,59,1,72.0,5039779.0,14,4.45
7uUahoeqGNRMbpdeiLj1rS,Panic Room,Au/Ra,67,0,60.0,597593.0,1,3.96
77UjLW8j5UAGAGVGhR5oUK,Pray For Me (with Kendrick Lamar),The Weeknd,67,1,93.0,112918137.0,14,3.52
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,17,1,80.0,34476607.0,1,3.37
2QLoQvSUxFmDmXQP2UutNJ,"Theme (From Battlefield 1942"")""",London Music Works,0,0,50.0,85930.0,16,2.58
3rf9vbMO0vuhtB3CDHTjsO,HeartLess,Madison Beer,49,0,74.0,8493078.0,7,2.64
6Z3KPGftGu9ZVvkAY8SaZa,Home with You,Madison Beer,58,0,74.0,8493078.0,7,3.17
1LhMopPAallLeaeNutqbgS,Say Something (feat. Chris Stapleton),Justin Timberlake,68,0,81.0,15820264.0,16,4.64
4rgwri7LajWVZvdj2N81SS,Catch Me Outside,Ski Mask The Slump God,62,1,68.0,6051989.0,13,2.42
4VBR3KptORIDW9dRAeLpCn,August 10,Khruangbin,0,0,69.0,2185005.0,10,4.42
6n4U3TlzUGhdSFbUUhTvLP,Walk It Talk It,Migos,71,1,74.0,14641094.0,24,4.6
4wFjTWCunQFKtukqrNijEt,MotorSport,Migos,66,1,74.0,14636928.0,24,5.05
0uq0ibSGT4AwiVLLZGs9Qm,Cuatro Vientos - Rey&Kjavik Remix,Danit,0,0,55.0,274187.0,1,6.87
1q1nfxQxNTbBxQZrhEcjYd,F.U.U.,Dream Wife,0,1,25.0,72476.0,11,3.84
4c2SKCNJyiho0AW1E4Z9hr,Evil Morty Theme (For The Damaged Coda),Beyond The Guitar,0,0,35.0,24497.0,12,2.54
401MfYscl2EMF4nDbnbG0K,Are You With Me,nilu,60,0,42.0,28498.0,1,4.16
09IStsImFySgyp0pIQdqAc,The Middle,Zedd,77,0,73.0,6111369.0,1,3.07
6T8cJz5lAqGer9GUHGyelE,God's Plan,Drake,1,1,95.0,103094105.0,2,3.31
0Rt2ekFM9bXqeAgR0TLZkz,i Shyne,Carnage,24,1,47.0,307529.0,1,2.55
6jWuqSMRhj3RYp2oDGDgc4,Amulet of the Weeping Maze (Single from the Mandy Original Motion Picture Soundtrack),Jeremiah Sand,9,0,2.0,1272.0,1,7.21
3IN7Bpmvsnxxj8lLDexF5X,Ghost Of Mine,Kailee Morgue,37,0,46.0,409356.0,4,3.74
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,68,0,68.0,1409983.0,1,3.51
1vNoA9F5ASnlBISFekDmg3,Zombie,Bad Wolves,3,0,62.0,891423.0,1,4.24
6KuqAtoeVzxAYOaMveLNpH,Dura,Daddy Yankee,69,0,85.0,37813429.0,1,3.34
7sTtHHrD0zDpmzQzH3zegz,Consequences,Camila Cabello,57,0,78.0,35576126.0,11,2.97
3ivJue8PxtUASeXsFpKhpH,Crash into Me,Dave Matthews Band,26,0,62.0,2118629.0,21,5.22
0hRHs5as4ETlc20LEwzDRE,'Let's Just Sit',Marion McPherson,0,0,0.0,31.0,21,0.21
4XLu3tTSZiPFVC9mmuR6Zp,All These Years,Camila Cabello,51,0,78.0,35579266.0,11,2.73
2d0KT2vtvyGdltnv83jtLV,Always See Your Face,Love,0,0,44.0,271107.0,21,3.31
79ychOlXCobj73aj58IIXq,Black Wave - Seattle Sessions,K.Flay,15,0,61.0,644963.0,17,3.54
4DPcp6xS12dhajIzkWiea6,Blue Madonna,BØRNS,40,0,65.0,1373052.0,12,2.32
64VGSSj0VFsoT0b20IGSHj,Little of Your Love,HAIM,14,0,65.0,1436323.0,21,3.54
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,Camila Cabello,77,0,78.0,35579266.0,11,3.78
0sVgOxAOOAj0K8PdFEGhrR,Never Be the Same - Radio Edit,Camila Cabello,44,0,78.0,35576126.0,11,3.78
2ff11wPbkImzyEgaa2gcWC,God Save Our Young Blood (with Lana Del Rey),BØRNS,47,0,65.0,1373052.0,12,3.87
4LhsCztJuhHs6ttZ4ovDnw,Hand In My Pocket,Alanis Morissette,0,1,67.0,3178420.0,21,3.63
1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila Cabello,79,0,78.0,35576126.0,11,3.62
1GO9vCm5Cra5uWGSWQ5mGK,In the Dark,Camila Cabello,48,0,78.0,35582423.0,11,3.66
5xi2SXmF3A5AIsuGXiUIZu,Inside Out,Camila Cabello,44,0,78.0,35582423.0,11,3.04
2gxqozTaq2NYylvS8jd57G,Into It,Camila Cabello,47,0,78.0,35582423.0,11,2.92
51rXHuKN8Loc4sUlKPODgH,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,67,1,69.0,1632880.0,1,3.82
3iq9nhbI8fcnNamxMft1uv,Real Friends,Camila Cabello,53,0,78.0,35582423.0,11,3.57
6z4tpJQ85mlFXkpeznbF1U,Russian Soul,Skott,28,0,51.0,236530.0,4,3.86
5HwnezK198pJCEj1l2Adjy,She Loves Control,Camila Cabello,54,0,78.0,35576126.0,11,2.95
7IL3UOlcJ6nmcCMwpnlfcA,Something's Gotta Give,Camila Cabello,54,0,78.0,35582423.0,11,3.93
5mBmuYLj1AM5mHGVuJD0M8,"The Nutcracker Ballet, Op. 71: No. 13. Waltz of the Flowers - Excerpt",Leonard Slatkin,10,0,42.0,7573.0,21,2.16
4pjBZvYhBqKscLO4NlU7TF,This Eve of Parting,John Hartford,23,0,37.0,49720.0,21,2.54
4m1O87UP5gIFVpHFmB63Xw,Milton's Tower,Joel Corelitz,38,0,34.0,4722.0,18,0.93
66kQ7wr4d2LwwSjr7HXcyr,"All The Stars (with SZA) - From Black Panther: The Album""""",Kendrick Lamar,60,1,89.0,44592005.0,1,3.92
77G0k1La0c5Dw8bAFANcyp,Sports,Beach Bunny,1,0,65.0,1856763.0,1,2.73
3WxmlTZ85sCYFnuIXmUAEe,party favor,Billie Eilish,66,0,90.0,118692183.0,9,3.41
1RGasjWLZ4qMN7wbtkLa3u,my boy,Billie Eilish,71,0,90.0,118692183.0,9,2.84
7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,82,0,90.0,118692183.0,9,3.33
5w7wuzMzsDer96KqxafeRK,COPYCAT,Billie Eilish,71,0,90.0,118760311.0,9,3.24
7eB1V5LvAdxCc7brfGhRRo,watch,Billie Eilish,79,0,90.0,118692183.0,9,2.95
6X7qcg95CAeJpTjtg1wooM,&burn (with Vince Staples),Billie Eilish,59,0,90.0,118728633.0,9,2.98
7GoXK3wa1Bxt9gVUJvv7Cy,All Mine,PLAZA,63,1,50.0,211275.0,1,3.91
1ni8ZTAY1GHXEFOGHl7fdg,bellyache,Billie Eilish,69,0,90.0,118692183.0,9,2.98
1WsEgieHsWWndAzLkmV105,hostage,Billie Eilish,74,0,90.0,118760311.0,9,3.82
41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,Billie Eilish,78,0,90.0,118692183.0,9,3.39
7J6bnDDitOwfelaJNixHhL,Modern Slavery,Huncho Jack,55,1,54.0,1200041.0,13,2.47
